Verizon Wireless,2450 Cobb Pkwy S,"Marietta,",GA,30060,(770) 984-1640
Verizon Authorized Retailer – Cellular Sales,390 Cobb Pkwy S,"Marietta,",GA,30060,(770) 427-5528
Verizon Wireless,270 Cobb Pkwy S Ste A7,"Marietta,",GA,30060,(770) 425-2010
Verizon Wireless,210 Cobb Pkwy S,"Marietta,",GA,30060,(770) 429-9029
Verizon Wireless,150 Cobb Pkwy S,"Marietta,",GA,30060,(770) 423-7018
Verizon Wireless,1785 Cobb Pkwy S,"Marietta,",GA,30060,(770) 955-0626
Verizon Wireless,3927 Buford Hwy NE,"Atlanta,",GA,30345,(404) 320-9002
Verizon Wireless,1891 Chamblee Tucker Rd,"Atlanta,",GA,30341,(770) 458-1336
Verizon,5001 Peachtree Blvd Ste 1020,"Atlanta,",GA,30341,(470) 275-8721
Verizon Wireless,5001 Peachtree Blvd,"Atlanta,",GA,30341,(470) 275-8721
Verizon Wireless,3515 Chamblee Tucker Rd,"Atlanta,",GA,30341,(770) 455-0300
